original_id,related_question_id,jaccard_distance,length_difference,relevance
Q208,Q208_R20,1.0,143,Irrelevant
Q208,Q208_R21,0.9166666666666666,79,Relevant
Q208,Q208_R30,0.8857142857142857,180,Irrelevant
Q209,Q209_R3,0.7704918032786885,17,PerfectMatch
Q209,Q209_R8,0.847457627118644,7,Relevant
Q209,Q209_R12,0.85,30,Relevant
Q209,Q209_R14,0.9016393442622951,8,Irrelevant
Q209,Q209_R15,0.8958333333333334,94,Relevant
Q209,Q209_R16,0.851063829787234,100,Irrelevant
Q209,Q209_R25,0.8875,119,Irrelevant
Q209,Q209_R33,0.8831168831168831,82,Irrelevant
Q209,Q209_R36,0.92,96,Irrelevant
Q209,Q209_R41,0.9090909090909091,85,Irrelevant
Q210,Q210_R4,0.9830508474576272,164,Relevant
Q210,Q210_R14,0.9710144927536232,351,Irrelevant
Q210,Q210_R15,0.9574468085106383,120,Irrelevant
Q210,Q210_R16,0.9571428571428572,281,Irrelevant
Q210,Q210_R23,0.9545454545454546,229,Irrelevant
Q210,Q210_R33,0.9344262295081968,198,Irrelevant
Q210,Q210_R36,0.9459459459459459,302,Irrelevant
Q210,Q210_R41,1.0,27,Irrelevant
Q210,Q210_R56,1.0,85,Irrelevant
Q210,Q210_R57,0.9473684210526315,149,Relevant
Q211,Q211_R2,0.9404761904761905,275,Irrelevant
Q211,Q211_R3,0.9487179487179487,216,Irrelevant
Q211,Q211_R4,0.9240506329113924,219,Irrelevant
Q211,Q211_R6,0.9130434782608695,144,Irrelevant
Q211,Q211_R9,0.9130434782608695,163,Irrelevant
Q211,Q211_R18,0.9428571428571428,70,Irrelevant
Q211,Q211_R22,0.8947368421052632,202,Irrelevant
Q211,Q211_R23,0.9259259259259259,66,Irrelevant
Q211,Q211_R30,0.8902439024390244,227,Irrelevant
Q211,Q211_R35,0.9545454545454546,7,Irrelevant
Q212,Q212_R3,0.8703703703703703,159,Relevant
Q212,Q212_R11,0.9154929577464789,282,Irrelevant
Q212,Q212_R18,0.9714285714285714,14,Irrelevant
Q212,Q212_R22,0.9210526315789473,10,Irrelevant
Q212,Q212_R27,0.9411764705882353,29,Irrelevant
Q212,Q212_R37,0.9245283018867925,119,Irrelevant
Q212,Q212_R40,0.9154929577464789,243,Irrelevant
Q212,Q212_R49,0.9508196721311475,203,Irrelevant
Q212,Q212_R52,0.9795918367346939,71,Irrelevant
Q212,Q212_R53,0.9322033898305084,190,Irrelevant
Q213,Q213_R2,0.8857142857142857,61,PerfectMatch
Q213,Q213_R3,0.9393939393939394,94,Irrelevant
Q213,Q213_R4,0.9215686274509803,191,Relevant
Q213,Q213_R6,0.953125,247,Irrelevant
Q213,Q213_R9,0.9285714285714286,12,Irrelevant
Q213,Q213_R11,0.9516129032258065,272,Irrelevant
Q213,Q213_R14,0.9210526315789473,73,Irrelevant
Q213,Q213_R29,0.9746835443037974,343,Irrelevant
Q213,Q213_R30,0.9649122807017544,206,Irrelevant
Q213,Q213_R31,1.0,56,Relevant
Q214,Q214_R5,0.8533333333333334,182,Irrelevant
Q214,Q214_R18,0.8314606741573034,65,Irrelevant
Q214,Q214_R28,0.8787878787878788,7,Relevant
Q214,Q214_R38,0.8494623655913979,63,Relevant
Q214,Q214_R59,0.8673469387755102,30,Irrelevant
Q214,Q214_R61,0.8571428571428571,69,Relevant
Q214,Q214_R67,0.8571428571428571,97,Irrelevant
Q214,Q214_R85,0.8369565217391305,32,Relevant
Q214,Q214_R91,0.9702970297029703,61,Relevant
Q214,Q214_R92,0.84375,52,Irrelevant
Q215,Q215_R6,0.9152542372881356,252,Relevant
Q215,Q215_R8,0.7901234567901234,37,Relevant
Q215,Q215_R19,0.847457627118644,241,PerfectMatch
Q215,Q215_R23,0.8653846153846154,94,Relevant
Q215,Q215_R55,0.8918918918918919,151,Relevant
Q215,Q215_R56,0.8426966292134831,36,Irrelevant
Q215,Q215_R57,0.8111111111111111,26,Irrelevant
Q215,Q215_R66,0.7945205479452054,107,Irrelevant
Q215,Q215_R72,0.8409090909090909,22,Relevant
Q215,Q215_R75,0.8588235294117647,31,Irrelevant
Q216,Q216_R2,0.9736842105263158,46,PerfectMatch
Q216,Q216_R27,0.96875,224,Irrelevant
Q216,Q216_R46,1.0,30,Irrelevant
Q216,Q216_R49,0.975,88,Relevant
Q216,Q216_R55,0.9298245614035088,212,Irrelevant
Q216,Q216_R60,0.971830985915493,275,Irrelevant
Q216,Q216_R68,0.9855072463768116,286,Irrelevant
Q216,Q216_R75,0.9848484848484849,232,Irrelevant
Q216,Q216_R78,0.9722222222222222,312,Irrelevant
Q216,Q216_R79,0.9538461538461539,267,Irrelevant
Q217,Q217_R1,0.8404255319148937,13,PerfectMatch
Q217,Q217_R21,0.8589743589743589,116,Irrelevant
Q217,Q217_R53,1.0,294,Irrelevant
Q217,Q217_R54,0.8625,59,Irrelevant
Q217,Q217_R62,0.8555555555555555,4,Irrelevant
Q217,Q217_R63,0.8666666666666667,99,Irrelevant
Q217,Q217_R67,0.8243243243243243,122,Irrelevant
Q217,Q217_R69,0.9666666666666667,261,Irrelevant
Q217,Q217_R78,0.8641975308641975,72,Irrelevant
Q217,Q217_R85,0.8571428571428571,33,Irrelevant
Q218,Q218_R6,0.9078947368421053,223,Irrelevant
Q218,Q218_R11,1.0,346,Irrelevant
Q218,Q218_R18,0.8859649122807017,54,Relevant
Q218,Q218_R20,0.9339622641509434,21,Relevant
Q218,Q218_R22,0.9102564102564102,235,Irrelevant
Q218,Q218_R23,0.8409090909090909,127,Irrelevant
Q218,Q218_R29,0.9393939393939394,302,Irrelevant
Q218,Q218_R32,0.935064935064935,227,Irrelevant
Q218,Q218_R38,0.9506172839506173,214,Irrelevant
Q218,Q218_R48,0.8478260869565217,115,Relevant
Q219,Q219_R5,0.9206349206349206,87,Irrelevant
Q219,Q219_R6,0.9259259259259259,38,Irrelevant
Q219,Q219_R7,0.9032258064516129,270,Irrelevant
Q219,Q219_R27,0.9367088607594937,203,Irrelevant
Q219,Q219_R33,0.9090909090909091,132,Irrelevant
Q219,Q219_R35,0.8769230769230769,84,Irrelevant
Q219,Q219_R53,0.9302325581395349,40,Irrelevant
Q219,Q219_R57,0.9565217391304348,26,Irrelevant
Q219,Q219_R58,0.8970588235294118,128,Irrelevant
Q219,Q219_R66,0.9294117647058824,266,Irrelevant
Q220,Q220_R15,0.8860759493670886,40,Irrelevant
Q220,Q220_R17,0.8490566037735849,132,Relevant
Q220,Q220_R18,0.8734177215189873,76,Irrelevant
Q220,Q220_R20,0.9811320754716981,158,Irrelevant
Q220,Q220_R28,0.8734177215189873,85,Relevant
Q220,Q220_R37,0.9230769230769231,62,Irrelevant
Q220,Q220_R43,0.8271604938271605,94,Irrelevant
Q220,Q220_R49,0.9552238805970149,61,Irrelevant
Q220,Q220_R53,0.8857142857142857,48,Irrelevant
Q220,Q220_R55,0.8860759493670886,54,Irrelevant
Q221,Q221_R5,0.8709677419354839,30,Relevant
Q221,Q221_R13,0.896551724137931,6,Relevant
Q221,Q221_R14,0.8571428571428571,186,Relevant
Q221,Q221_R37,0.9,48,Relevant
Q221,Q221_R40,0.8588235294117647,206,Relevant
Q221,Q221_R43,0.8412698412698413,31,Relevant
Q221,Q221_R44,0.8947368421052632,91,Relevant
Q221,Q221_R46,0.8170731707317073,173,Relevant
Q221,Q221_R48,0.8470588235294118,261,Relevant
Q221,Q221_R67,0.9183673469387755,79,PerfectMatch
Q222,Q222_R12,0.8529411764705882,151,Relevant
Q222,Q222_R16,0.9024390243902439,54,Irrelevant
Q222,Q222_R17,0.8604651162790697,25,Relevant
Q222,Q222_R25,0.9322033898305084,56,Irrelevant
Q222,Q222_R30,1.0,144,Relevant
Q222,Q222_R39,0.8765432098765432,233,Relevant
Q222,Q222_R48,0.9090909090909091,234,Irrelevant
Q222,Q222_R50,0.9193548387096774,111,Relevant
Q222,Q222_R55,0.953125,105,Irrelevant
Q222,Q222_R61,0.8913043478260869,22,Relevant
Q223,Q223_R2,0.9310344827586207,7,Irrelevant
Q223,Q223_R3,0.9230769230769231,10,Irrelevant
Q223,Q223_R6,0.9883720930232558,372,Relevant
Q223,Q223_R7,0.9726027397260274,276,Irrelevant
Q223,Q223_R8,0.9473684210526315,49,Irrelevant
Q223,Q223_R11,0.9384615384615385,242,Irrelevant
Q223,Q223_R15,0.9574468085106383,110,Irrelevant
Q223,Q223_R18,0.9444444444444444,316,Irrelevant
Q223,Q223_R20,1.0,9,Irrelevant
Q223,Q223_R23,1.0,75,Relevant
Q224,Q224_R13,0.9696969696969697,109,Irrelevant
Q224,Q224_R16,0.9428571428571428,89,Relevant
Q224,Q224_R33,0.92,204,Irrelevant
Q224,Q224_R36,0.9466666666666667,162,Irrelevant
Q224,Q224_R37,0.9565217391304348,15,Irrelevant
Q224,Q224_R38,0.9325842696629213,220,Irrelevant
Q224,Q224_R39,0.9714285714285714,99,Irrelevant
Q224,Q224_R42,0.9242424242424242,175,Irrelevant
Q224,Q224_R43,0.95,61,Irrelevant
Q224,Q224_R46,0.9726027397260274,139,Irrelevant
Q225,Q225_R9,0.9848484848484849,354,PerfectMatch
Q225,Q225_R23,0.9710144927536232,307,Irrelevant
Q225,Q225_R24,1.0,212,Irrelevant
Q225,Q225_R29,0.9565217391304348,151,Irrelevant
Q225,Q225_R30,1.0,207,Irrelevant
Q225,Q225_R32,1.0,327,Irrelevant
Q225,Q225_R36,0.9814814814814815,206,Irrelevant
Q225,Q225_R39,0.9836065573770492,266,Irrelevant
Q225,Q225_R42,0.9852941176470589,319,Relevant
Q225,Q225_R44,0.9583333333333334,42,Irrelevant
Q226,Q226_R3,0.8292682926829268,89,Relevant
Q226,Q226_R4,0.881578947368421,203,Relevant
Q226,Q226_R10,0.8709677419354839,90,Relevant
Q226,Q226_R13,0.918918918918919,243,Relevant
Q226,Q226_R16,0.8404255319148937,90,Relevant
Q226,Q226_R28,0.9518072289156626,201,Irrelevant
Q226,Q226_R36,1.0,350,Relevant
Q226,Q226_R45,0.8425925925925926,51,Relevant
Q226,Q226_R50,0.8518518518518519,158,Relevant
Q226,Q226_R60,0.8556701030927835,27,Irrelevant
Q227,Q227_R3,0.8985507246376812,37,PerfectMatch
Q227,Q227_R4,0.8260869565217391,176,Relevant
Q227,Q227_R29,1.0,224,Relevant
Q227,Q227_R44,0.9361702127659575,176,Irrelevant
Q227,Q227_R45,0.9622641509433962,146,Irrelevant
Q227,Q227_R48,0.8813559322033898,60,Irrelevant
Q227,Q227_R50,0.9565217391304348,6,Irrelevant
Q227,Q227_R69,0.984375,68,Irrelevant
Q227,Q227_R77,0.9076923076923077,61,Irrelevant
Q227,Q227_R83,0.9,133,Irrelevant
Q228,Q228_R2,0.8831168831168831,296,PerfectMatch
Q228,Q228_R8,0.9041095890410958,239,Relevant
Q228,Q228_R9,0.9636363636363636,100,Irrelevant
Q228,Q228_R16,0.8620689655172413,140,Relevant
Q228,Q228_R17,0.9512195121951219,13,Relevant
Q228,Q228_R30,0.9583333333333334,197,Irrelevant
Q228,Q228_R33,0.9180327868852459,166,Irrelevant
Q228,Q228_R34,0.9295774647887324,211,Irrelevant
Q228,Q228_R35,0.9433962264150944,78,Irrelevant
Q228,Q228_R36,0.953125,210,Irrelevant
Q229,Q229_R2,0.8947368421052632,173,Relevant
Q229,Q229_R4,0.8947368421052632,162,Relevant
Q229,Q229_R5,0.8703703703703703,130,Relevant
Q229,Q229_R6,0.9191919191919192,3,Irrelevant
Q229,Q229_R8,0.9047619047619048,2,Relevant
Q229,Q229_R9,0.9393939393939394,250,Irrelevant
Q229,Q229_R10,0.9529411764705882,110,Irrelevant
Q229,Q229_R12,0.8970588235294118,230,Irrelevant
Q229,Q229_R13,0.95,165,Irrelevant
Q229,Q229_R15,0.972972972972973,209,Irrelevant
Q230,Q230_R13,0.9761904761904762,238,Irrelevant
Q230,Q230_R18,0.9791666666666666,220,Irrelevant
Q230,Q230_R34,0.9210526315789473,177,Irrelevant
Q230,Q230_R36,0.9863013698630136,401,Irrelevant
Q230,Q230_R44,1.0,181,Irrelevant
Q230,Q230_R57,0.972972972972973,136,Irrelevant
Q230,Q230_R59,0.9824561403508771,384,Irrelevant
Q230,Q230_R66,1.0,14,Irrelevant
Q230,Q230_R77,1.0,354,Irrelevant
Q230,Q230_R78,1.0,404,Irrelevant
Q231,Q231_R8,0.9029126213592233,3,Relevant
Q231,Q231_R11,0.8823529411764706,15,Relevant
Q231,Q231_R13,0.975609756097561,218,Irrelevant
Q231,Q231_R18,0.9325842696629213,151,Relevant
Q231,Q231_R20,0.9459459459459459,262,Irrelevant
Q231,Q231_R27,1.0,359,Irrelevant
Q231,Q231_R29,0.9074074074074074,29,Relevant
Q231,Q231_R36,0.9473684210526315,47,Irrelevant
Q231,Q231_R39,0.9042553191489362,118,Relevant
Q231,Q231_R40,0.8571428571428571,12,Relevant
Q232,Q232_R30,0.8783783783783784,133,Irrelevant
Q232,Q232_R37,0.8846153846153846,35,Irrelevant
Q232,Q232_R40,0.8875,209,Irrelevant
Q232,Q232_R46,0.922077922077922,170,Relevant
Q232,Q232_R49,0.8641975308641975,232,Relevant
Q232,Q232_R60,0.8356164383561644,224,Irrelevant
Q232,Q232_R61,0.9024390243902439,106,Irrelevant
Q232,Q232_R71,0.8627450980392157,19,Relevant
Q232,Q232_R77,0.9636363636363636,38,Relevant
Q232,Q232_R81,0.8809523809523809,256,Irrelevant
Q233,Q233_R1,0.9032258064516129,191,PerfectMatch
Q233,Q233_R2,0.8620689655172413,183,PerfectMatch
Q233,Q233_R4,0.9583333333333334,59,Relevant
Q233,Q233_R7,0.8909090909090909,24,PerfectMatch
Q233,Q233_R9,0.9347826086956522,280,Relevant
Q233,Q233_R10,0.9615384615384616,84,Relevant
Q233,Q233_R12,0.9491525423728814,17,PerfectMatch
Q233,Q233_R14,0.868421052631579,195,Relevant
Q233,Q233_R15,0.9104477611940298,28,Irrelevant
Q233,Q233_R16,0.9130434782608695,116,Relevant
Q234,Q234_R3,0.8846153846153846,102,PerfectMatch
Q234,Q234_R5,0.8863636363636364,38,PerfectMatch
Q234,Q234_R9,1.0,113,Relevant
Q234,Q234_R20,0.890625,239,Relevant
Q234,Q234_R21,0.9452054794520548,302,PerfectMatch
Q234,Q234_R35,0.8985507246376812,246,Irrelevant
Q234,Q234_R41,0.9253731343283582,255,Relevant
Q234,Q234_R45,0.9325842696629213,368,Relevant
Q234,Q234_R50,0.9512195121951219,14,Relevant
Q234,Q234_R59,0.975,16,Relevant
Q235,Q235_R6,0.8395061728395061,203,Relevant
Q235,Q235_R9,0.935064935064935,253,Irrelevant
Q235,Q235_R12,0.8727272727272727,7,Relevant
Q235,Q235_R13,0.8737864077669902,56,Irrelevant
Q235,Q235_R14,0.9210526315789473,266,Irrelevant
Q235,Q235_R21,0.9142857142857143,91,Irrelevant
Q235,Q235_R23,0.92,35,Irrelevant
Q235,Q235_R25,0.9102564102564102,232,Irrelevant
Q235,Q235_R28,0.8771929824561403,31,Irrelevant
Q235,Q235_R37,0.9117647058823529,299,Irrelevant
Q236,Q236_R1,0.8775510204081632,46,Relevant
Q236,Q236_R3,0.92,19,Relevant
Q236,Q236_R5,0.8533333333333334,209,Relevant
Q236,Q236_R20,0.9487179487179487,40,Relevant
Q236,Q236_R21,0.8307692307692308,159,Relevant
Q236,Q236_R22,0.8795180722891566,326,Irrelevant
Q236,Q236_R36,0.9120879120879121,369,Relevant
Q236,Q236_R40,0.9,16,Relevant
Q236,Q236_R42,0.9090909090909091,11,Relevant
Q236,Q236_R46,0.9210526315789473,49,Relevant
Q237,Q237_R12,0.9821428571428571,207,Irrelevant
Q237,Q237_R15,0.8958333333333334,209,Irrelevant
Q237,Q237_R23,0.9634146341463414,394,Irrelevant
Q237,Q237_R27,1.0,9,Irrelevant
Q237,Q237_R30,0.9523809523809523,135,Irrelevant
Q237,Q237_R31,0.9545454545454546,277,Irrelevant
Q237,Q237_R38,0.8666666666666667,81,Irrelevant
Q237,Q237_R58,0.9428571428571428,84,Irrelevant
Q237,Q237_R59,0.8813559322033898,266,Relevant
Q237,Q237_R65,0.9508196721311475,361,Irrelevant
Q238,Q238_R3,0.8072289156626506,122,Relevant
Q238,Q238_R4,0.8651685393258427,96,Relevant
Q238,Q238_R8,1.0,357,Irrelevant
Q238,Q238_R9,0.8333333333333334,10,Relevant
Q238,Q238_R10,1.0,357,Irrelevant
Q238,Q238_R13,0.9176470588235294,191,Irrelevant
Q238,Q238_R21,0.9701492537313433,331,Irrelevant
Q238,Q238_R22,0.8918918918918919,5,Irrelevant
Q238,Q238_R30,0.8706896551724138,69,Irrelevant
Q238,Q238_R36,0.9024390243902439,210,Irrelevant
Q239,Q239_R2,0.9111111111111111,55,PerfectMatch
Q239,Q239_R6,0.9367088607594937,311,PerfectMatch
Q239,Q239_R13,0.7,11,PerfectMatch
Q239,Q239_R17,1.0,111,Relevant
Q239,Q239_R18,0.864406779661017,148,Relevant
Q239,Q239_R21,0.9016393442622951,143,Relevant
Q239,Q239_R31,0.84,150,Relevant
Q239,Q239_R53,0.8148148148148148,173,Relevant
Q239,Q239_R54,0.9302325581395349,337,Irrelevant
Q239,Q239_R56,0.9534883720930233,13,Irrelevant
Q240,Q240_R1,0.8404255319148937,38,Relevant
Q240,Q240_R3,0.8518518518518519,95,Irrelevant
Q240,Q240_R14,0.9523809523809523,240,Irrelevant
Q240,Q240_R19,0.9253731343283582,184,Relevant
Q240,Q240_R28,0.8333333333333334,126,Relevant
Q240,Q240_R31,0.8793103448275862,177,Irrelevant
Q240,Q240_R32,0.8272727272727273,148,Irrelevant
Q240,Q240_R35,0.9014084507042254,182,Irrelevant
Q240,Q240_R39,0.8080808080808081,91,Irrelevant
Q240,Q240_R40,0.8,95,Relevant
Q241,Q241_R19,0.8831168831168831,42,Irrelevant
Q241,Q241_R23,0.8846153846153846,49,Irrelevant
Q241,Q241_R37,0.890625,87,Irrelevant
Q241,Q241_R41,0.9130434782608695,87,Irrelevant
Q241,Q241_R42,0.9,101,Irrelevant
Q241,Q241_R43,0.9411764705882353,91,Irrelevant
Q241,Q241_R47,0.8611111111111112,5,Irrelevant
Q241,Q241_R92,0.8314606741573034,80,Irrelevant
Q241,Q241_R97,0.9814814814814815,212,Irrelevant
Q241,Q241_R98,0.9692307692307692,65,Irrelevant
Q242,Q242_R3,0.9210526315789473,144,Relevant
Q242,Q242_R8,0.8260869565217391,178,Relevant
Q242,Q242_R9,0.8780487804878049,125,Relevant
Q242,Q242_R15,0.8351648351648352,7,Relevant
Q242,Q242_R24,0.875,65,Irrelevant
Q242,Q242_R28,0.8522727272727273,15,Relevant
Q242,Q242_R36,0.8617021276595744,37,Irrelevant
Q242,Q242_R41,0.85,73,Relevant
Q242,Q242_R42,0.90625,226,Relevant
Q242,Q242_R45,0.8115942028985508,170,Relevant
Q243,Q243_R5,0.8805970149253731,156,Irrelevant
Q243,Q243_R12,0.9090909090909091,92,Irrelevant
Q243,Q243_R16,0.9130434782608695,168,Irrelevant
Q243,Q243_R20,0.8375,19,Irrelevant
Q243,Q243_R23,0.8823529411764706,23,Irrelevant
Q243,Q243_R39,0.9148936170212766,24,Irrelevant
Q243,Q243_R43,0.8584905660377359,168,Irrelevant
Q243,Q243_R45,0.8842105263157894,75,Irrelevant
Q243,Q243_R51,0.8805970149253731,173,Relevant
Q243,Q243_R77,0.8833333333333333,196,Irrelevant
Q244,Q244_R4,0.8636363636363636,33,Relevant
Q244,Q244_R12,0.9830508474576272,317,Irrelevant
Q244,Q244_R15,0.9565217391304348,42,Irrelevant
Q244,Q244_R18,0.9090909090909091,41,Relevant
Q244,Q244_R19,0.9655172413793104,246,Irrelevant
Q244,Q244_R21,0.9655172413793104,71,Relevant
Q244,Q244_R29,0.9310344827586207,112,Irrelevant
Q244,Q244_R33,0.9302325581395349,203,Irrelevant
Q244,Q244_R34,0.9545454545454546,188,Irrelevant
Q244,Q244_R35,0.9696969696969697,119,Irrelevant
Q245,Q245_R4,0.961038961038961,196,Relevant
Q245,Q245_R7,1.0,124,Relevant
Q245,Q245_R8,0.9032258064516129,69,Irrelevant
Q245,Q245_R12,0.8809523809523809,11,Relevant
Q245,Q245_R17,0.9318181818181818,17,Irrelevant
Q245,Q245_R18,0.9428571428571428,62,Irrelevant
Q245,Q245_R19,0.9142857142857143,286,Irrelevant
Q245,Q245_R27,0.9666666666666667,71,Irrelevant
Q245,Q245_R32,0.9436619718309859,178,Irrelevant
Q245,Q245_R34,0.9404761904761905,317,Irrelevant
Q246,Q246_R13,0.9411764705882353,251,PerfectMatch
Q246,Q246_R15,0.9215686274509803,134,Relevant
Q246,Q246_R18,0.9024390243902439,104,Relevant
Q246,Q246_R27,0.9295774647887324,332,Irrelevant
Q246,Q246_R41,0.9375,270,Irrelevant
Q246,Q246_R50,0.9,35,Relevant
Q246,Q246_R54,1.0,66,Relevant
Q246,Q246_R76,0.7878787878787878,63,Irrelevant
Q246,Q246_R77,0.9090909090909091,26,Irrelevant
Q246,Q246_R78,0.864406779661017,311,Relevant
Q247,Q247_R14,0.8947368421052632,1,Irrelevant
Q247,Q247_R19,0.9054054054054054,258,Irrelevant
Q247,Q247_R31,0.9230769230769231,280,Irrelevant
Q247,Q247_R38,0.9466666666666667,256,Irrelevant
Q247,Q247_R41,1.0,106,Irrelevant
Q247,Q247_R44,0.9583333333333334,73,Irrelevant
Q247,Q247_R46,0.9090909090909091,19,Irrelevant
Q247,Q247_R57,0.9230769230769231,4,Irrelevant
Q247,Q247_R59,0.9696969696969697,37,Irrelevant
Q247,Q247_R62,0.9625,236,Irrelevant
Q248,Q248_R3,0.9583333333333334,124,Relevant
Q248,Q248_R8,0.9310344827586207,219,Relevant
Q248,Q248_R12,0.8888888888888888,120,Relevant
Q248,Q248_R14,0.927536231884058,158,Irrelevant
Q248,Q248_R30,0.9166666666666666,95,Relevant
Q248,Q248_R31,0.8588235294117647,36,Irrelevant
Q248,Q248_R32,0.84,47,Irrelevant
Q248,Q248_R35,0.963855421686747,63,Relevant
Q248,Q248_R37,0.9263157894736842,78,Irrelevant
Q248,Q248_R45,0.9157894736842105,23,Relevant
Q249,Q249_R2,1.0,42,Relevant
Q249,Q249_R10,0.975609756097561,130,Relevant
Q249,Q249_R20,0.896551724137931,79,Irrelevant
Q249,Q249_R29,0.9772727272727273,184,Relevant
Q249,Q249_R31,0.9824561403508771,294,Irrelevant
Q249,Q249_R33,0.9230769230769231,170,Irrelevant
Q249,Q249_R41,0.9230769230769231,10,Irrelevant
Q249,Q249_R48,0.9846153846153847,346,Irrelevant
Q249,Q249_R50,0.9736842105263158,157,Irrelevant
Q249,Q249_R51,0.9875,410,Irrelevant
Q250,Q250_R1,0.7857142857142857,58,PerfectMatch
Q250,Q250_R3,0.8660714285714286,16,Irrelevant
Q250,Q250_R10,0.8823529411764706,46,Relevant
Q250,Q250_R22,0.9125,281,Relevant
Q250,Q250_R23,0.96,317,Relevant
Q250,Q250_R27,0.8532110091743119,36,Relevant
Q250,Q250_R39,0.9753086419753086,262,Relevant
Q250,Q250_R41,0.9032258064516129,179,Relevant
Q250,Q250_R53,0.8953488372093024,219,Irrelevant
Q250,Q250_R65,0.922077922077922,280,Irrelevant
Q251,Q251_R1,1.0,97,PerfectMatch
Q251,Q251_R6,1.0,8,Relevant
Q251,Q251_R27,0.875,218,Irrelevant
Q251,Q251_R28,0.961038961038961,249,Irrelevant
Q251,Q251_R30,0.9122807017543859,118,Irrelevant
